Name,type,RAM,CPU,GPU,ScreenSize,Resoloution,Storage,OS,price
Lenovo,Notebook,16GB,Intel Core i7 1465,NVIDIA  RTX 4060,15.6 Inch,1920x1080,1TB SSD,Dos, 91499.00
Apple,Ultrabook,8GB,M3,10 core,14 inch,2560x1600,512GB SSD,Mac, 97399.00
Lenovo,Notebook,16GB,Intel Core i7 1465,NVIDIA RTX 4060,16 Inch,1920x1080,1TBSSD,Dos, 101699.00
Lenovo,Notebook,16GB,Intel Core i7 1465,NVIDIA  RTX 4060,16 Inch,1921x1080,1TB SSD,Windows, 102399.00
ASUS,Notebook,16GB,Intel Core i9 1390,NVIDIA  RTX 4050,16 Inch,1922x1080,1TB SSD,Windows, 108499.00
Apple,Ultrabook,16GB,M3,10 core,13 Inch,2560x1600,512GB SSD,Mac, 112399.00
Apple,Ultrabook,16GB,M3,10 core,13 inch,2560x1600,512GB SSD,Mac, 112399.00
Apple,Ultrabook,8GB,M3,10 core,15.6 Inch,2560x1600,512GB SSD,Mac, 113499.00
Apple,Ultrabook,8GB,M3,10 core,14 inch,2560x1600,512GB SSD,Mac, 121799.00
Apple,Ultrabook,16GB,M3,10 core,15.6 Inch,2560x1600,512GB SSD,Mac, 131299.00
Apple,Ultrabook,8GB,M3,10 core,14 inch,2560x1600,1TB SSD,Mac, 134099.00
MSI,Notebook,32GB,Intel Core i9 1490,NVIDIA  RTX 4090,17 Inch,2560x1600,2TB SSD,Windows, 220099.00
Lenovo,Notebook,8GB,Intel Celeron N4020,Intel UHD,15.6 Inch,1920x1080,256GB SSD,Dos, 14599.00
HP,Notebook,4GB,Intel Celeron N4500,Intel UHD,15.6 Inch,1920x1080,512GB SSD,Dos, 17099.00
DELL,Notebook,4GB,Intel Core i3 1215U,Intel UHD,15.6 Inch,1920x1080,256GB SSD,Dos, 19499.00
MSI,Notebook,8GB,Intel Core i3 1215U,Intel UHD,14 Inch,1920x1080,256GB SSD,Dos, 19499.00
Lenovo,Notebook,8GB,AMD Ryzen 3 7320U,AMD Radeon 610M,15.6 Inch,1920x1080,256GB SSD,Windows, 20099.00
Lenovo,Notebook,4GB,Intel Core i3 1215U,Intel UHD,15.6 Inch,1920x1080,256GB SSD,Windows, 20999.00
HP,Notebook,4GB,AMD Ryzen 3 7320U,AMD Radeon,14 Inch,1920x1080,256GB SSD,Windows, 21299.00
HP,Notebook,4GB,Intel Core i3 1315U,Intel Iris Xe,15.6 Inch,1920x1080,256GB SSD,Dos, 21999.00
Lenovo,Notebook,8GB,Intel Core i3 1215U,Intel UHD,15.6 Inch,1920x1080,256GB SSD,Windows, 21999.00
DELL,Notebook,8GB,Intel Core i3 1215U,Intel UHD,15.6 Inch,1920x1080,512GB SSD,Dos, 21999.00
HP,Notebook,4GB,Intel Core i3 1215U,Intel UHD,15.6 Inch,1920x1080,256GB SSD,Windows, 22599.00
Huawei,Notebook,8GB,Intel Core i3 1115G,Intel UHD,15.6 Inch,1920x1080,256GB SSD,Windows, 22599.00
Huawei,Notebook,8GB,Intel Core i3 1115G,Intel UHD,14 Inch,1920x1080,256GB SSD,Windows, 22599.00
HP,Notebook,4GB,AMD Ryzen 3 3250U,AMD Radeon,15.6 Inch,1920x1080,256GB SSD,Windows, 23199.00
DELL,Notebook,4GB,Intel Core i3 1115G,Intel UHD,15.6 Inch,1920x1080,256GB SSD,Dos, 23799.00
MSI,Notebook,8GB,Intel Core i5 1235U,Intel Iris Xe,14 Inch,1920x1080,512GB SSD,Dos, 25299.00
Lenovo,Notebook,8GB,AMD Ryzen 5 7520U,AMD Radeon 610M,15.6 Inch,1920x1080,512GB SSD,Windows, 26199.00
DELL,Notebook,8GB,Intel Core i5 1235U,Intel UHD,15.6 Inch,1920x1080,512GB SSD,Dos, 27099.00
DELL,Notebook,8GB,Intel Core i5 1235U,Intel UHD,15.6 Inch,1920x1080,512GB SSD,Dos, 27099.00
ASUS,Notebook,8GB,AMD Ryzen 5 7520U,AMD Radeon,15.6 Inch,1920x1080,512GB SSD,Windows, 27399.00
Lenovo,Notebook,4GB,Intel N100,Intel UHD,15.6 Inch,1920x1080,128GB SSD,Windows, 28699.00
Lenovo,Notebook,8GB,AMD Ryzen 5 7520U,AMD Radeon,15.6 Inch,1920x1080,512GB SSD,Windows, 29299.00
ASUS,Notebook,8GB,Intel Core i5 1235U,Intel UHD,15.6 Inch,1920x1080,512GB SSD,Windows, 29899.00
